,title,text,transformed_date,star,product_num,hp_data
10,Within 1 month malfunctioning,"After 1month of usage, suddenly started tripping in house and found that refrigerator is malfunctioning. Then called to the customer care and complained about it. The half cooked Technician visited within 24hrs and checked and keep on calling other technicians and asking about what to check and how to find out the problems. Finally he said there's a fire smell in the board and it is damaged due to power fluctuation. Even though I told him I have stabilizer connected with it he is keepin telling due to power fluction only it happened. And his point was even though you connected with stabilizer it will happen. I don't understand then what is the purpose of stabilizers. Now he registered for claim. Waiting for the board to replace. Disapointed with the service.","Nov, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
11,Worst service received from LG,"Seller doesn't give vegetable box and egg tray. And LG also can't provide that part after 2 weeks of waiting, worst service received from LG.","Aug, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
12,Product received in damage condition,Product received in damage condition,"Aug, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
13,Refregirator,It is very good but make some noise...,"Jan, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
14,Worst Product.,Don't prefer this product facing defect issues with the refrigerator. Got freezer sensor issue after 2 months from the purchase date.,"Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
15,BEST FOR A SMALL FAMILY,"LG Refrigerator had always been a best one for me, let me check this time as well....","Oct, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
16,Damaged,"The Refrigerator is damaged in two places with large, visible dents","Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
17,Worst product,Just after using for 2 mnths the fridge is not working...its not getting cooled,"Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
18,Worst performance,"This product always giving noice sounds,
Past 10 months onwards Service persons not resolving the issue.
Please don't look in to the LG products.","Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
19,LG service is very slow,"There is no egg tray inside refrigerator. We are buying 25k rs refrigerator and LG wants to save 100rs for small egg tray 😁.
I was contacting LG service center for Demo and installation but there was no response from them. It takes 3 day's for LG to just installation and demo. 1 star for LG service.","Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
20,Disappointed with LG👎,"After spending 25k, refrigerator is making very loud noise randomly every few hours only after 15 days of usage.
After raising complaint, LG technician came and he was not able to understand that fridge is making rattling sound every few hours. He did inspection, didn't do anything, and said noise will be gone(its my guarantee). He was not even able to understand what the problem is, even after telling him 4 times. Only 3 hours later, we heard the loud noise again and again.
Technician is not responding now and we've raised the issue again. Hoping some trained technician comes for inspection this time.

This rattling sound is like someone drilling in the wall. It's a known issue with LG fridges(you can find it on Google), but we didn't know it'll be so loud that we'll hear it in the entire flat. Totally disappointed with LG product and service. They are ruining their name by making products like this 👎

Update: After speaking to 4 technicians, sending them audio recording of noise, showing them a video from YouTube where same noise is coming from back of the fridge - they are not able to understand the issue and they are saying it's normal. Due to lockdown, they asked me to cancel the complaint and raise it again after lockdown. Let's see what they do after lockdown!

Update: After lockdown, new technician came. He said you need to adjust a coil which is behind the fridge and sound will be gone. But it's still the same. Don't know why they don't understand( or accept) that fridge has some manufacturing defect. I guess we will have to live with this sound making piece of garbage.","Apr, 2021",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
21,Hopeless service,I got a defective product. The doors do not close properly and inspite of repeated request nobody came to repair. I am writing this review after 6 months of purchase. Still my complaint is not resolved. Not recommended at all,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
22,Refrigerator is not Cooling,"Very Disappointed with the LG, First they delivered damaged Product the. Provided a replacement with the product which is not working after 5 days of usage.","Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
23,Poor quality product,"This is the worst refrigerator we purchased.It is not cooling properly. Freezer not cooling properly, ice creams got melted in its maximum cooling temperature. Service is also very poor. Donot buy this product","Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
24,No installation support provided in actual,"I know it's simple to install(took 10min to find where they put the cable, it's not freezing same as our old refrigerators, old one were fast in cooling this new tech is a lot slower, I don't know if it an issue because no one came for installation) but if LG is committed to provide installation support then why they are not doing ? Is it mentioned just for getting people attraction?","May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
25,Defective items,My suggestion is don't go for any electronic items through online... Better go for shop and pls check it out and and then buy... This is my 3rd time I got defective items and I suggest u to don't buy on online especially this festival season time... they are using it as tool to sell defective items,"Oct, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
26,Build Quality is Poor,Easily gets dent,"Nov, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
27,Scratches on bottom side- Minor touches cause scratches and dent on door,"Refrigerator is good. Working well and silent compressor

After many months of usage one day I noticed that scratches on bottom side and covered like black paint. Those who are interested to buy this refrigerator, kindly check the all corners and edges. If anything found like this, request for replacement. Attached pic are self-explanatory. After all the door materials quality also not good. If minor touch cause scratches and dent.","Jul, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
28,Worst product,"This product is always in maxi discount. When the product is not sold then only discount is given continuously. After finding maxi discount I bought it but it was a big mistake. This product has very less capacity. And the most problematic is its cooling problem. Within 10 months the product created trouble. It has no cooling. The service man came and changed the cooling control device. Even then no improvement. Then again I made second complaint. They changed the fan. But again same problem. Then again they changed the fan. Then now it is working. It took five days to get it repaired. The service man suggested to purchase the four year warranttee for the product as the parts of the product are costly. I purchased the four years warranttee for the product of Rs 7200 for 20% discount. Now my cost of the product increases to Rs 25000 plus rs 7200 . Around rs 32000. The product is not worth of this price. There are other product in which there is hardly in problem. So I advise not to buy it even if available in 50% discount. Moreover, I think service man intentionally created trouble in maintenance and reflected as if the problem may occure in future, so that I buy the warranty for four years. It was a trap. They fooled me. Now the same warranty is provided in 45% discount.","May, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
29,Good product,Product is good but timely not delivered,"Oct, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
30,A very troublesome product from LG..,"Have been a LG fan from years.. used many of their products, fridge, tv and all.. however this one unit is constantly giving me problems.. The motherboard of this fridge gets damaged frequently.. and every time repair costs 5k.. this is the 2nd time in 2.5 yrs that the motherboard got damaged.. very troublesome product.. not buying LG anymore...","Apr, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
31,Product is good but not satisfied with Amazon service,"if you looking more freezer storage then go for it and their is no feasibility to convert the freezer to freeze.
So plan carefully as your need. I order wrongly this product and want to replace with convertible but Amazon deny to do that.","Dec, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
32,Very Bad quality,Quality is not good,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
33,"Faulty, compressor stop working within 1.5 months","Refrigerator stops making ice within 1.5 months, need to call LG support. It's compressor is not working.","Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
34,क्वॉलिटी बहुत खराब है ।6month में कलर निकल गया। सर्विस भी खराब है ।,क्वॉलिटी बहुत खराब है ।6month में कलर निकल गया। सर्विस भी खराब है ।,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
35,poor and very bad experience,Some parts like plug and it's got damaged,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
36,"Poor service, missing part","Poor service from both amazon and LG.
They delivered package without egg tray, which should have been included as per description.
When complaint was lodged neither LG nor Amazon took the responsibility. LG was one step forward and asked extra money to provide egg tray. Don't buy LG product.","Apr, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
37,Freezer fan issues,"Dear team LG
Within a year I took 3 times service/repair by today
Getting too much trouble from convertible freezer
Fan is replaced 2 times
PCB is replaced 1 time
I think there is some serious issue with my variant
Kindly request you to look further my issues.
Give me a feedback regarding this matter
Thank you","Aug, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
38,My product damaged,My product damaged,"Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
39,Not a user friendly fridge Ice box is very bad,"Getting ice from ice box is very tough very poor design, I'm facing this problem so please go for other models this model is not user friendly","May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
40,dont go for brand name ....!,"I was thrilled to receive the fridge and had it promptly installed. However, my excitement quickly turned into disappointment when the fridge stopped working just 48 hours after delivery. Despite following all the installation instructions and ensuring a proper power supply, the appliance is entirely non-functional. It is evident that the refrigerator is defective and, unfortunately, has failed to serve its intended purpose.

My primary reason for purchasing this fridge was to ensure the hassle-free preservation of groceries, especially perishables such as fruits, vegetables, and ice creams. The unexpected breakdown of the fridge has not only caused immense frustration but also led to the wastage of my groceries. In total, I estimate the cost of the wasted items to be around 2000 rupees, which is a significant hole in my pocket. This is far from the experience I anticipated when purchasing a brand-new product through Amazon Prime.","Oct, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
41,Lg not response for service,Item is totally rubbish,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
42,Worst purchase lg refrigerator,This is the worst refrigerator we purchased.It is not cooling properly.On lower point it is not working and higher point it is freezing everything,"May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
43,Not good as per experience,"I recently purchased but its not good in upper fridge not light available and not cooling smart system
Pls don't purchase
Whirphool is better option than LG","May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
44,Bad coustemer service,Play Video,"Jul, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
45,Fault Product delivered,Fault Product delivered,"Jun, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
46,At least once a day the Compressor makes trrrrrrt as if some short circuit happened,"Refrigerator is spacious, cooling is good but the company should have provided options to adjust the height of the shelves. Right now the only option you have is to remove a shelf if you have something big to keep inside. Deep freezer shelf and the one over Veg basket looks very cheap. The worst part is, once or twice a day the compressor make some loud noise as if there was some short circuit. As per LGs service engr, this sound is normal and it comes in all of LGs Refrigerators","Jun, 2021",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
47,Slightly disappointed,"Ordered this on the recommendation of a refrigerator technician, hopefully the machine does not give me trouble... one of the door storage shelf is very narrow... cannot even fit a can of cool drinks. The shelves are not adjustable .","Jun, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
48,Defective piece....Disappointed with LG... Not going to recommend it to anyone,"Stopped working within 1-2 months... Got it repaired through LG technician through LG service center... It took them almost 20-25 days to repair the refrigerator causing me great hardship during the said period.....
And now within 2-3 months after repairing it, it again stopped working....","Mar, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
49,"Ok product, not that good!","Bought this fridge and had to call the service center 2-3 times within 3 months of buying. Reason, they have the temperature control setting inside the fridge and it automatically got reset. So the cooling stopped multiple times and that too in a new fridge. Not that great product. You can get much better options at this price.","Dec, 2021",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
50,Dont purchace waste fridge,"Worrest product dont purchace, and dont purchace on Amazon waste service","May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
51,Loud noises from the refrigerator,"Below problem rectified by changing circuit board.
This item makes noises 2 or 3 times in a day, like ice break with loud noise. The service centre said it couldn't be rectified. L G can do something to clear the issue?
After 1month this making noise too loud.

Don't buy LG","Jul, 2021",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
52,Size isnt big enough,"I read all the reviews and online purchase experience is not good, it looks pretty small too may","Nov, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
53,Ook but...,Door not closes automatically. You really need to push a bit hard to close it. Many time it is open slightly in this case even door open beep don't sound...,"Aug, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
54,Worst Service from LG,"With in 10th month of purchase cooling completed stopped, raised a complaint to customer support on WhatsApp and they arranged a technician. He inspected and told its bcs of ice forming issue and poured some hot water and went. Again after 3 month the issue came, this time I called up the customer support and explained the issue. They denied that no complaint s were registered earlier.

Then this guy inspected and told me that motor, bio metal and sensor controller is not working and needed to replaced which is costing around 6000. Upon explaining the issue to customer support they are rude and asking to pay the money for service to not change the parts.

0 for LG service and not at all recommended.","Aug, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
55,Damaged product lg refrigerator,The refrigerator was received in damaged condition. Kindly get replaced at the earliest,"Oct, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
56,Cooling,Refrigerator is not cooling,"Nov, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
57,Crack in ice tray,Within 1 month automatically crack happened in ice tray . it's very disappointing one...,"Dec, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
58,Poor quality and small product. Very unhappy please don't buy this refrigerator,The product we have received is very small as compare the picture we have seen on the website. Please replace the product,"Apr, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
59,Just a average fridge.,"Just a normal fridge. The door is too tight, and not many compartments. But it is fine for small family usage.","Oct, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
60,Better to buy frm shop,"Play Video
Highly disappointed. I purchased a LG 260 3 Star refrigerator. After 10 days compressor noise so badly . I complain on 26th june to the LG customer care they came on 27th june they said u have to change the compressor I told them to replace the refrigerator they said u have to talk to Amazon customer care I talk to them they said ur replacement date is on 26th we can’t help you on this I talk to them 2 days but they can’t be able to help me out for this well. I want to return the product and tried to reach out to Amazon. However the issue is not yet resolved. Such a waste of money buying electronic item on Amazon. It’s much better to visit a store, touch and feel a product before purchasing.","Jun, 2021",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
61,Will post review once i finish with checking it,Play Video,"Apr, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
62,There is No Light inside the freeze. Except this everything is good.,"Every thing is good. But there is no light inside freeze.
Installation done free of cost within 24 hr.
Packaging was very good.","Sep, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
63,Lg product freez,July 2023 me mayne freez kharide ab ice freezer me jam na chalu ho gaya hy .lg ka service sahi nahi hy kitna call karne ke baad koi service ke liye koi parson engg.nahi aaya .aaj10 din se jyda complain ka ho gaya hy,"Feb, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
64,Good,Fine but colour is not adequate.,"Jan, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
65,"Not Good, only 11 months run next stop","LG Refrigerator only11 month ge gas leaked aagi off aagiruttade.

(Cold aagutilla)

Minimum 10 to 15 years enu tondare aagbaradu... Adu best refrigerator.","Feb, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
66,"Product is good,but during the dispatch by Amazon little dent in body surface.",Superb item by lg also delivery time by Amazon is good but during the dispatch little dent in body surface...this is not acceptable in new product,"May, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
67,Comfortable of use,Condition,"May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
68,Bad support from Amazon and LG,"Call Amazon and they will ask you to call LG. LG doesn't pick and you can happily spend your time talking to each team. Call Amazon again
Call LG again
Call -- Call

And finally come here without any option. Giving you a heads up before you choose this here !!!!!","Nov, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
69,Be Careful before buying it. Buy at your own risk,Had bought this freeze in June 2021. All was running smooth. But Suddenly without any reason freezer stopped working. Had to give extra repair cost of 2500 Rs to get it working just after 1 year 3 months. And compressor keeps making weird noises for which two support person didn’t do anything.,"Nov, 2022",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
70,Good,Good I love it & good delivery also thank u amazon 🥳,"Oct, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
71,2024 model have egg tray ?,"Have an egg tray on 2024 model GL-S292RDSX/2024 ?

Please reply me as soon as possible
Otherwise model is good","May, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
72,"Worst product, Worst customer experience, no good support even in warranty","I bought this refrigerator on Oct 2021. Luckily this product comes with 1 year warrenty. Within a year I have to request 5 time LG customer care to visit technician for multiple issues. Started with cooling issue, then water leakage issue and then temperature controlling issue. At earlier visit LG technician tried to skip the main issue instead suggested something such door close properly, door dont keep open for longer but later told sensar has issue and replaced that. After that he found issue in main motherboard and now changed that too. Not sure why product comes in market without proper testing. Even not sure is this because of online product. They sold some old model, damage piece. Within a year this much issues not sure how long I will be able to use this LG refrigerator. This could be my wrong decision to go with LG this time.","Sep, 2022",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
73,Good Purchase,The refrigerator is good when compared to its features and in design lacks sturdyness. Rest other things are good,"Jun, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
74,BEST,Height is very less as compare to single door,"Jan, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
75,फ्रीज़ कि केबल डिलेवरी के समय damage निकली,,"Jan, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
76,🚫🚫🚫🚫Worst refrigerator ever -LG Double door fridge🚫🚫🚫🚫🚫,"⛔⛔Stay away from LG ⛔⛔
The freezer fan has malfunctioned twice within one year, and it had to be replaced both times. I suspect that LG has designed the refrigerator to stop working after the warranty period, so that they can charge high fees for servicing and replacement.
They are charging 500 for service charge and 3000 for freezer fan replacement, even after replace, freezer getting spoiled again after 3months. Worst refrigerator ever. Stay away from LG. Non popular brands refrigerators working fine than this LG ONES.","May, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
77,There is a dent,Just ok,"Nov, 2022",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
78,Please Don't purchase,"Please requested don't purchase ,due to service issue because I have purchased LG 242 L Refrigerator under Festival season on 19 October and delivered 21 October However, installation service is very dull nor Amazon or LG supported regarding installation of refrigerator, value of money '0'. Service Rating -1 or anything not rating","Oct, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
79,Worst product,Bought on May 2023 now it is not working no cooling,"Aug, 2023",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
80,Very disappointed with the delivery,The edge is bend,"May, 2024",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
81,Product received is damaged dent at lower side,Product packaging was opened in product of LG technicians. Product was received damaged as shown in photos. Product was received on 11th December 2023. Opend by LG technicians they found product was damaged. Please arrange the pickup or delivery a new product,"Dec, 2023",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
