text,star
"- Inverter AC is a scam and companies like LG are cashing on it.
- LG doesn't not provide Copper Condenser or Copper Pipes to OD unit.
- please double check with other brands as well, as the No1 Ac company is also No1 in Cheating customers. Very frustrating... Inverter will work fine for a couple of years ,after you will start getting problems..
So be watchman for your money, don't rely on the advertisement only...",3
"Toal cost 1415+600(for stand which i didnt used I have old AC installed)+ 250(for labour charge for drilling just 3 extra holes) + 580 (for dismentelling the Old AC and putting it on floor).
Also the guy didn't perform the leakage test, doesnt explain the functionality of Remote (due to lack of his knowledge i believe). Bad.
LG I am buying 46000 Rs AC, Dont you think Installation should be free??.",3
"It's been 2 years using this LG AC.
Not satisfied with the quality.
Doesn't cool fast and less cooling as compare to others.
I have samsung AC as well been using for 3 years, cools faster and make room SHIMLA within 10-15 mins.
LG claims that it consumes less Watts, but didn't see much difference as compare to Samsung AC.
Bought Samsung AC for less than the price of LG AC (almost 10k less )and it is older than LG AC, yet faster cooling and totally value for money and satisfied.
Don't go for LG AC.
LG AC has VIRAT mode as well. Just faster the Fan speed and does nothing.",2
Cooling is very less I had whirl pool 1 ton magic cool ac it will cool with in minutes. But this ac taking lot of time to cool,3
"I bought this AC in May 2024 and have been using it for couple of weeks now. Earlier I had a 10 yrs old 1.5 ton fixed speed Carrier AC, deployed in my living room/kitchen area with a size of approx 150 sq ft and it would chill the room. This LG AC is able to moderate the temperature to some extent but the air flow is barely noticeable even in HC mode, till the time I am sitting in front of it. This AC does not justify the steep cost!
Since, I have to run it in highest power setting or so called Virat mode all the time, I don't notice the difference in spends vs my old AC. Probably it is good for room size of 120 sq ft or less. Not impressed.
I think a Carrier or Blue star would be a better option.
I am now buying a fixed speed Windows AC from Carrier for my bedroom. Avoid Inverter ACs wherever you can.",2
"We bought it for our living room but was not fully satisfied the way it performs, not cooling the room that fast,",3
"Even after purchasing the AC which coated me more than 40K, I was charged separately for the plug. Also, for the installation, the total charge was close to 3800.",3
hecked online not getting extended warranty offer for this model,3
"I really disappointed with LG service, I got a call from technitian yesterday but installation is not done yet, I called him many time but he is not even responding to my calls and pings, I'm not sure about the product but service is very slow as i unexpected.",3
"We received the new AC with damaged PCB, after lot of complain lot of follow up , they replace the pcb.
We faced problem",3
"They didn't mention clearly about the accessories such as wall bracket for the outdoor unit etc. Further the limitation of copper pipe is only three meters that is too short. In other countries they will provide 5-7meters in general.
Product and service may be good (not yet tested) but overall satisfaction is more important. We may not mind paying an extra buck for the important/essential accessories along with the product which may save us from headaches if the installation happens when elderly people or home care personnel at home.",3
"Firstly I believed LG is best for its products until I experience their worst service experience .... Recently we purchased this AC for installation they sent some third party technician(outside mechanics) they didn't installed properly they didn't even gave receipt for our payment, the Ac condition was not so good for cooling it's takes minimum 20mins, later with some issue we contacted LG customer care services startingly they responded well but after ey didn't even send technician even a week after raising our issue, we're contacting customer care but later they not even responding to our calls ...please don't take this product as ur choice and coming to their service very very bad ...hope this review will helpfull to you... thankyou",1
"With the box you are not receiving any steel angle, drain pipe as well as the masking tape they are going to charge separately. Including all those you have to pay 3000 approx for installation",2
"Writing after 2 months of usage -
1. Water leakage in indoor unit after 2 months of usage. Will post service experience after getting it fixed.
2. The swing can't be set to blow air below. My bed is right below the AC, the swing can't be set to blow air right under it. At the lowest point I get the cool air for my feet.
3. Cooling is not great for it's configuration. Any mode I use it's almost the same.
4. Cost of operation is only slightly less compared to 3 star AC. Not much benefit if you use regularly. My electricity bill haven't reduced much.",1
The AC was not working so we return the item and Thanks Amazon for refund without loosing any money. The Service from LG was very poor. The service guys come very late and took long time to fix the unit even they don't fix all screws both inside and outside units. when they open the packs they notices the damages even though don't inform us until we found the problem. Once they fixed the AC was not working even they said it will work after some time and left. Usually we are using LG previously and it is very good and i don't know why its happens now...?,3
"With in a year I launched the 4 complaints on cooling and water leakaeg issues. Sensors are very delicate and sound system also has gone (Only options is replace PCB ). In warranty support is worst. Even if you launch complaint, they just do temporary fix.
After warranty, I mean after 1 year 4 months, indoor unit coil has leakage. If I want to repair these issues, I need to invest Rs. 20,000/- (Coil, Gas charges, PCB board and service changes.). My strong Recommendation is don't buy this product. And also Seller is also not trustable.",1
"Even LG techinicians visited and unable to findout the chilling issue, instead online better to by in TATA Croma",2
"New ac LG 1.5 ton 5 star installed on April 2023, with in 6 month cooling issue rectified ""Error code CH 38"",Tech visited and he said evaporator cooling unit need to be replaced ,after two days technician replaced the part, then also problem not solved. Now they are telling it may be the compressor problem and i am waiting for last two days.Complaint open since last week and waiting for the next course of action from service center.I am so worried about this, with in few months problem started...I will update further details after this..",3
"Think before purchasing it. Too much cost, takes lot of time in cooling the room of 110 Sqft.",3
"Taking a lot of time cool the room and , swing modes are not working properly , air is not comming when we slept under the AC. My suggestion is not to buy.",2
"The product is ok or not I can't say but the seevice in Bangalore is so pathetic that you will regret every other day. They will give numbers which will be switched off or not answerable for eternity. After installation the product will also sometimes not work properly and you will chase them like
forever. The worst decision of my life is to spent 50k on buying LG AC",2
Cupper wire was not found. I bought it locally after additional payment. As per the package inside description it has been written that 3 mts cupper wire will provided. But i did not get it. Which disappoints us.,2
"Purchased latest LG Ac but not satisfied with noise level of the product
Cooling is good but the outdoor unit humming sound is very high, it is very uncomfortable noise.
Approached LG service centre for a resolution but I am following them for past 18 days for a resolution. Complaint is moving from one executive to another but struggle continues.

Hope LG is reading this.

Buying an upgraded LG ac model replacing older has backfired this time.

Advice is think thrice before going for LG ac.",2
"The smart features are oversold. LG's way of performing smart diagnosis is by using an audiomessage from the AC which is decoded on your phone. BUT THIS FEATURE ALSO ISNT APPLICABLE ON THIS AC.

The AC has the logo for smart diagnosis but it doesn't work.

The cooling worked in Bangalore heat for one day. Now it only reduces the humidity of my room but doesn't cool anything. Room temperature is still showing up at 30 degrees.

The remote does not have a backlight.
The AC doesn't close the intake valve when the power goes, it will only do that if the power is available. How hard was it to put a single battery that could have just done that as a fail safe?

The gas must have leaked during installation. The installation people aren't even bothering to look into my complaints. I can't even diagnose this AC myself, what rubbish in this age of smart technology! Do not buy this piece of rubbish.

UPDATE: So while my room is 250 sq ft, I can run this AC in the Viraat mode. It's effective that way. But it's still not worth the false advertising from LG.
Other problems: the Remote doesn't have a backlight. The AC flap doesn't close when the power goes. Would have been nice to have a small battery that did that much.",1
"The delivery of the product was satisfied. But the installation of the AC by LG Thiruvalla was pathetic, terrible and irresponsible. The installation process wasn't done by a professional way. They leave the plug without fixing the pin when asked about that they said we need to fix it but earlier on the customer care call they informed that they are carrying every equipments and will fix.It was irresponsible installation done by LG Thiruvalla.",2
Outdoor unit makes so much noise which gives you anxiety and its Leaks like tap water. Can fill a bucket same time a tap can fill.,2
"Cooling achhi ni h new ac lgwaya h bt cooling 0h
Ai inverter AC lgwaya sbse costly bt cooling bilkul b ni isse achha to godrej ka hi tha voltas ka b achha h
Worst product paise bekar ho gye",2
"LG product wise I am happy with convertible option and cooling effect is very good, however installation team did a crap work , workmanship is very bad , please refer for the pics, how pipes are mounted everywhere.",2
"LG is a pathetic company. I bought it's after some time it's flaps are not closing properly.
They don't do proper quality check for their products. After 6 months it's TV also stopped working. Never going to buy LG product again.",1
"Ac was dilivered on time but guys be vigilent from installation guys, they charge too much. I think LG should provide free installation. Will write another review after using AC for few more days",2
"My ac Noise is high,,i observed some LG ac's they are not giving noise,,",3
"This AC is very poor in context of cooling. Everyone on the internet and other places will tell you that this company is good AC. But I will tell you that this particular AC is the worst at cooling. My cooler is cooling more in comparison with this LG AC.

Plus, this AC is ineffective and inefficient at cooling the whole room. Only through the way the air is blowing, you feel cool, which will also be very low.

If you have a complaint regarding the cooling of the product, you will have multiple service engineers visit, they will just check the grill temperature and measure the ampere and will tell you that device is good, even though this Machine is completely failure, they will also tell that this AC is not cooling properly. But you can't do anything.
At last, you will feel that all your hard-earned money is gone in the trash. Because if you run this machine, only your electricity bill will increase, but in response to that, the cooling is nonsense.
I have complained multiple times. The service engineers are all inexperienced and of no use. The guarantee is also of no use.",1
"I would say everything right from seller to order delivery to product to LG service center to all and all has troubled me in this. I would never order on Amazon and LG products as which is very bad. I wont recommend anyone to order it.
Also, by gods grace I understood how pathetic the LG service is. Copper pipe is missed in my LG AC which I received from Amazon and Installation member has come and checked and said Copper pipe is missed and he suggested to use from him and the amount need to paid by me, but surprisingly LG authorized service (Rama Enterprises, Pune) center guys are selling the Whirlpool copper pipe and they dont have LG copper pipe and upon checking with LG customer support, they said, dont allow to use any other branded pipe else you would lose the warranty. So what should one do, if LG authorized dealer is not maintaining their own branded spares, which is very funny. What if some repair has to be done in future and no spare is available at company authorized service center itself. Better to avoid such brands as there is no use other than wasting our money on their useless products.
DONT BUY LG PRODUCTS.",1
"Play Video
I have bought this LG only few months back. Since last 2 months I'm facing terrible issues and no technician is able to fix it.
1.Cooling issue: it's not cooling as per expectation. In my other room, I'm using marq cheap one ac which is working and cooling fine since 5 years.
2. Ch38 error: it keeps showing after sometime. Technician visits and refill the gas but not able to identify any leak. Now they have suggested no leak is there, you have to keep turning it on and off so that the error goes for sometime. This kind of resolution i dint expect from such populated brand.
Still now we are facing these 2 issue. It's been 2 months. As they couldn't able find any solution, they have stopped visiting now. And kept closing my complaints without any concerns.
My AC is still in warranty period. I asked since you are not able to fix then replace it. No body is responding..nobody is picking up the contacts customer care is sharing.
I am stuck with this 45k AC.
Please don't go for it for the sake of brand name.
I have sent mail to LG MD , to their main office. No responses !!
Horrible experience!!",1
Within a week of installation I got issue dropping of water from the product.When connected with customer care they provide technician and he just checked and say bcz of dust formation it happens.Actually they didn't do proper installation procedure haven't checked the gas and straightly install.No degree of inclination taken place.Worst service.I totally bought same 3 ac for my house .My fault shouldnt believe them LG this s not at all good.Customer s important.Bcz of improper technician my 6 month old currently got lung infection severely.past 3 days giving him nebulizer.If call customer care not providing proper details.Service centre numb s not working which given by customer care.Technician by themselves cancelling the service.Kindly take this product give us new one.,1
"Hi Guys,
AC hole drill not filled with white cement due to that rain water coming to BED room. We have given white cement to installation guy but he said rain water won’t come to room which major mistake done by installation guy. Please take care such things while doing installation, Don’t believe them.",1
"LG installation team was very very bed
The installation boy is not good
It's a little bit late in giving the review, but as per my experience of 1 year, it is very bad and LG's installation boy was very bed..",1
,3
"Anytime i change any feature settings the AC starts acting weird and does not cool that much.
Plus i never got my copper pipe money back.",2
"Product is good but the installation people are very rude in behaviour. Charged extra and dib not install properly.
Also you can buy the same product in lesser value from your nearby dealer and they will help you in installation related work.",2
"Cooling was not effective from installation and till now
And Amazon brand not receive this from me and return not attempt.",1
With AC brackets are not provided we brought them from nearby shop,3
"So after apply all the coupons and offers, we bought AC for 40,000 from 46,500
Here is the interesting part, for installation and extra 2mtr copper pipe and for extra hole…they literally charged 5600.

So keep in mind to pay extra money. Think about any free installation providing brands also.",2
"I was mislead by reading about wifi AC but came to know this is not Wifi enable. Such a loss. Wrong product info by Amazon. Also, sleep mode is very confusing to use.",2
"I bought this AC for my kids' bedroom with high expectations. The wall unit made a rattling sound during installation , and the technician who installed had to call someone else to figure it out.

The AC lay unused for the next ten days as kids went on vacation. When they came back, we found it doesn't cool at all...probably a gas leak due to poor fitting. That is where my troubles began...the LG website doesn't even give you an sms or email confirmation of the ticket you've registered.

The technician who called up next day told me it's not his problem, and I should contact the technician who originally installed it. I did not anticipate I'd have to do this chasing around for a simple service request.

And oh, it turns out that this so called smart AC is not compatible with LG's MyThink App...go figure.",1
"We bought this because of the high reviews online plus the assurance that LG will have a decent service network which will ensure quick installation. (WE have been Samsung customers for last 20 years mainly because of their service network, and we were under the impression that LG is at par. BIG MISTAKE).
The AC was delivered promptly and we received a call the very next day. Two guys turned up, insisted that the outside unit has to be kept on the terrace (about 6000 rupees extra for copper wire). This was for my parents home, and they live closeby so we went over immediately to see. After pointing out that all ACs unit in that society were installed in the balcony (just 900 odd rupees for the bracket) they quickly lost interest and left to apparently buy the bracket. They were absconding, leaving the AC open in the bedroom. We reached out to the agencies (Top One Services and Jeeves, I don't know if they are the same, but both were in touch for installation.) They sent another guy. He came up with the same suggestion of the terrace and yelled at my parents when they said no. After that another guy came and said he will bring the bracket - went absconding again. During this time, we were calling Amazon as well as LG continuously to escalate. After 4 days the LG customer service person says they have NO RECORD of my half a dozen calls while Amazon says LG will handle this in 2 days. Terribly disappointed with LG's ridiculously bad customer support. We are returning this product. A bit sad as the product itself is highly rated but i cannot subject my parents to this level of after sales service.",1
Copper pipe is missing in the box,2
"No Backlight in remote
Swing is not complete 180 in all 4 sides
Cooling is not as expected in 15*13 room
Model is 6 in 1 mode but 5 modes only working
Got for 40k in Big billion sale-- 5 star 1.5 ton 6in 1 model",3
Very bad.cool is very low.,2
"It's been 1 year since I am using this product and product is good but the customer service is really worst. All they do is to play escalation-escalation. I tried to reach to them for rpair/service request, ticket was raised but got no response for 7 days. Then again I reached to them they escalated it but still did not get any response. Then I even mailed them but still no response. I do not know how will I get help with repair and service, may be I will contact local repair guys. I cannot believe LGE has the worst service.",1
"As i am using Voltas n LG both AC from last 1 year. I lost on both free services from LG as there is no reminder from company regarding service due. There is total different experience in voltas, this is 4th year they are still reminding for AC services.

No complaint about product it is running smooth.",2
"Play Video
LG Electronics - I used to trust LG products for their longevity - Our First TV from LG is still working for 20 years

Two recent incidents made me question the entire credibility of LG and am not going to buy any LG products from now on

- We bought an LG TV a few months before and it stopped working they said it was due to the PCB board fault and I had to wait for a few months to get it repaired and fixed/replaced.

- Around the same time we bought an LG1.5-ton AC and yesterday it stopped working throwing some error code - After two service technicians visited - Now they said - the PCB board was faulty and I needed to wait a few months - as they had to send an email and get approval to replace it

While am continue to wait for any update",1
Today installation complete technicians very good persons but Ac compressor out door coming the sound,3
Please do not buy this kind of product from online. First time I purchased something online. And getting issue with its drain leakage.,1
"Hi
Seems some deffect on product maybe thia piece defected by LG.
Observed some mark and dent.
After using 3 days AC cooling is good. LG installation is team arguments is too high during installation after paying installations changes 1199+20% GST. they want election charge to connect wiress in stabilizer and and the charage extra money to do wall mount AC.",3
"Bought in October 2023,engineer gave a demo and afterwards winters came.we started AC on 25 may 2024 and it didn't work. After a lot of discussion with LG customer care engineer s reluctantly came and said we will uninstall it and take it for inspection.today 5 June 2024 two technicians came and uninstalled it and now their auto is not coming
To heck with it.
Very very poor LG service
Never buy LG products it's humble request to all",1
"I bought LG AC in April for Summer. Technician came & Caused accident and damaged my AC. It's been more than 2 months now that I was first waiting for replace ment and then refund. When replacement came after a month the replacement AC was also damaged. So I asked for refund it's been over 1 month since I am waiting for refund. Still I have not received refund. Anwar who is area sales manager is too busy to help. The service center Technician are not skilled. So even tho LG is good brand. As no skilled technicians. This AC is only 0 star. Please don't buy LG AC. Even the replacement AC which came from godown is damaged. Summer is coming to an end but I still have not received my refund. And after paying money no AC. My money is stuck in their refund process and they are not releasing it to me. They are fraud. Please don't buy LG.
Also my old AC needs repairs and they said one month ago they need some parts and ordered the parts. It's just over a month now and they are still saying they didn't receive the parts. So my old AC is not repaired either. They are not able to fix their ACs. There is something terribly wrong with this company. They don't have good technicians, they brand new AC's are damaged when you open the box, and they dont even have parts to replace and repair old LG AC. Something is wrong with this company. Don't buy LG.",1
"Don't go with this product. They will not listen after install. I purchased this product in May 2024 and I am facing some cooling issue and I am constantly trying to schedule a service or checking request but nobody is coming they are not even picking up the call. My nearest office is not picking up the call. This was my first and last LG item, I am not going to believe LG again.",1
"The LG air conditioning unit I received was an absolute nightmare from the moment I unpacked it. Let me share my terrible experience so that others can avoid making the same mistake. I have never been more disappointed with a purchase in my entire life.

The unit was dead on arrival. The unit never worked. Either Amazon or LG don't want to take the accountability and refund or arrange a return. Amazon customer service just keeps transferring the calls / chats to multiple departments and eventually disconnects the calls. LG kept saying they'll fix the unit for the last 3 months with no one turning up. My 50000 for this unit is a dead investment.

It's mind-boggling how a supposedly reputable brand like LG could manufacture such a faulty and shoddy product. Furthermore, the unit's remote control was an absolute joke.

Last but not least, the customer support from LG was abysmal. I reached out to them multiple times to address these issues, but they provided zero assistance. It was like talking to a brick wall. They were unresponsive, indifferent, and showed no willingness to resolve the problems I encountered with their defective unit.

In conclusion, save yourself the time, money, and frustration and steer clear of this LG air conditioning unit. It's an absolute piece of junk that fails to deliver even the most basic functionality. Don't be fooled by the brand name; this product is a disgrace. Spare yourself the headache and invest in a more reliable and reputable air conditioner from a different manufacturer. You'll thank me later.",1
"Absolutely irresponsible and useless Service for LG in Trivandrum. I received the message that the service is from PRIDE Service which may be a third party but the LG's own customer service is quite useless. No track of issue, no updates, no follow ups.. what's the point of a supposedly 5 star product if you can't get a proper support for it. Isn't service associated with the overall product and the brand?
It is almost a week and counting since I rescheduled installation support service but no sign of the technician. The local service centre does not pick the call and to get some one in LG customer care is a nightmare. I would have returned the product and gone for another brand if I had the option to do so but unfortunately there is only replacement option.",1
"Friends, never buy LG air conditioner in your life. When I want to get its first free service, the service guy says that the free service will be dry. If you want to get it cleaned by Chat Pump then you will have to pay ₹ 472 for it.
If this is the condition of the company in providing free service only, then what service will it be able to provide further?",1
"I got this ac from amazon, it's 40 days I got the ac and it's not working now. Waste of money. When I got in touch with Amazon they said they are not responsible for this and we should directly deal with the brand and when I got in touch with brand they were jst completely delaying my complaint request by kicking my request from one service centre to other, one says that the installation was done by other service center and we don't do this. And the who actually installed has directly switched off. Now am daily calling to lg service centre and having a complaint raised but my issues not getting solved. It's completely waste of time and money. Not expecting such poor service from lg and Amazon. Every thing is a hoax.",1
"The product was intalled on 24th April, PCB got burnt on 29th May (though I have a stabilizer). It is 15th June today and they customer support is saying they still need 7-10 days to repair it. This is almost impossible to bear with the heat, and I wasted my money. 17 days + 7-10 days atleast in this summer. Thanks to LG.
Update - It was fixed on 22nd May. After 24 days.",1
Fan speed even 2 nd level it creates noice it’s not a good option better go other brands compared to it’s price it’s not worthy,2
"I AM WRITING THIS AFTER 40 MONTHS OF USAGE. It worked fine for first 20days, then water leakage started. The LG service is so bad, even after 5 visits they were not able to fix it. Now they are saying they have to change the coil. Does it even make sense to change the coil of a newly bought AC?",1
LG technician don't know installation procedure.. fixed vertically 😕Product is good,3
"Please don't buy this model TS- Q19YNZE,this model doesn't support mobile app features or wifi ,but here amazon mentioning in description and selling this model to many customers,and after checking with amazon customer service they will suggest you check with LG customer care, finally amazon delay the my concerns for many days and fooling like anything at end they will say sorry and they won't take back the product and says about return policy duration and damage or if product doesn't work ,This amazon site is fishy ,a complete week I raised complaint with customer care but they are correcting advertisement but still right now I see false description in LG AC,my suggestion to all please look at Amazon description and check with LG customer care about model and price .Surely any one gets suprise of Amazon false advertising.",1
"The Installation engineer should be trained and equipped for all kind of basic electrical wiring and core cutting/drilling work required for AC installation. I had to hire two person for core cutting of window glass for pipe to pass/connect with outdoor unit. One person for completing wiring to connect AC switch/plug. AC installation engineer and his helper came and installed the AC. Total people used for 1 AC installation is 5. Due to which cost of installation and time and energy was very high. Hope LG train there installation engineer and his help to complete installation. AC delivery through Amazon was swift but installation was nothing but a very BIG deal. I thing if I had bought the AC from local shop, I would not have faced such challenges in installation process.",1
"Bought two split ACs (LG 1.5 Ton 5 Star AI DUAL Inverter) for Rs43490 each. One is running fine but another stops cooling within 5-6 days after installation. Also, it shows error code CH38 if run for approx 1 hour. When googled CH38, I found it is related to refrigerant/gas leakage. The technician visited to check, found gas level and pressure were ok. They returned without fixing it. Perhaps the issue is bigger and they didn't have an immediate solution. Complaint is still pending. So worried. Lets see if customer care could fix it within a reasonable wait time. I will come back again to update you further.",1
Worst cooling in an AC.,1
"It’s been 3 weeks it’s not looking the way it was in first two weeks. And there is no direct number mentioned to contact to get this fixed.

Extremely disappointed by the services provided on 221-22 temp. It does not cool the room for half an hour.

Waste of money. Bad performance",1
Pathetic installation. They are sending non technical person. They dont know anything about AC. And LG ac is really bad. Please do not waste money. I have purchased two one online one offline. Dont even think to buy LG. No cooling at all nothing .. total time waste money waste mental upset,1
"Condenser leakage in less than 1.5 years, repair cost is too high",1
"In just 1 month of purchasing this product, had to get 2 tech visits to fix this. Water is leaking from indoor unit. No cooling at all. And the tech support doesn't,t care at all. It has been three days no one came, even after dozen of calls.",1
Installation executive found copper pipe missing inside the carton.,1
"Stopped working after 8 months , technician came 4 times each time cooling of ac went down, they said it has extra GAS and then they said Inverter ac does not work in summers. i was like what the hell why did i spend so much money on it then? Worst Customer Service, Worst AC. i recommended few of my friends after 6 month usage but as soon as summer started this AC created issues for me and now i am worried that my friends are going to curse me as well for this worthless recommendation",1
Very bed ... wrost experience....west of money...... water leakage continue...... temporary solution provide by lg side.....,1
"30 days of experience

To maintain the basic temperature 24degrees it was taking 4 hrs.

If we are expecting 16degree we can expect the maintaining the AC for whole day, but even not sure it might requires 24/7 AC turn ON for 16 degrees.

Had covered the room at every air gaps. I don’t observe any break for outdoor unit, continuously fan is running and no proper cooling. Waste of money with this product.

I don’t suggest this anymore",1
"I bought this LG 1.5 ton AC. Problem started after purchase. No technician available for installation. Installation people is poor category.Vaccuming not done in gas line, that can damage the compressor.After Installation profuse water leaking from indoor unit. No one could not be contacted over phone. LG customer care is worst of the lot. Don't buy LG AC , specialy from AMAZON, amazon responsibility is over after selling. There are a nexus between Amazon and LG. Better go for daikin from flipkart, I have been using one,after sales service is far better.",1
"Build up material is good.Issue arises in cooling, if you are very much peculiar about fast cooling, pls don't go for this product. Operations is bit confusing, 5.20 ISEER ratings it never follows. Outdoor unit will ever run if the cooling is reached also. Personally looking for performance in brands will recommend panasonic AC's . Very much disappointed with performance. Paying high for it's name even Samsung AC's are good as compared with LG one's!!!",1
"Itne daam mein ac bakwaas hai
Uske features kuch kaam ke nahi hai
Ac sirf HC par hi chalti hai
Light bill is terrific
LG ka yeh product scrap ke jaisa hai
Remote bhi old model hai
Kripaya mat kharide yeh Ac
LG koi dukaan Wale ko bhejti hai installation ke liye.
Uske khudke koi engineer nahi hai
Installation LG ka thik nahi hai
Thanks to Amazon good customer care",1
"Third se bhi third class cooling ,full night hone ke baad bhi no cooling,
Instant cooling feature ek dum bekar h ,zyada electricity consume karte h
And thanda toh ek dum lagta hi nhi haanjyada ho gya h lao ac band kar de ,
40-50k you pay ,for a good air conditioner and you get this rubbish model,lg ka koi bhi model.lelo ya kuch bhi products lelo
Fride,mobile,tv ,ac sab ek dum third class h",1
"Bought it previous year in 10 months cooling issue occurred 2 times .
worst experience with the LG AC service they attend consumers and try don't try to resolve the issue.
instead of warranty in the product. i have to hire urban for servicing this product.

I will not recommend any one to buy any LG AC as it says Life Good but once you buy it makes Life worst.",1
Water leakage and gas leakage issue within 1 week,2
Very bad experience with LG installation team. AC got delivered in 2 fast but the installation guys are very irritating. I am daily calling and asking them for installation they give no response on time it's been 1 week already i got the item delivered but no installation done yet. Very very bad service from LG in the first time itself. Now i completely lost trust in LG service,1
"Very inexperienced technician. No finishing. Refused to vaccume the ac, didn't perform leak test, was in a hurry , made the room a mess, no proper tools . Later A lady kept calling for the happiness code . Initially I didn't want to share the code as i was not satisfied. But later I gave it. As they kept calling",1
"Not satisfy with product , it take very much time cool the room,",1
"I am disappointed with the performance of the air conditioner I purchased. While the product delivery and installation process were hassle-free, the air conditioner itself is not functioning properly. It frequently shuts down unexpectedly and fails to provide adequate cooling.

In my attempt to seek assistance, I reached out to the brand's customer service, and they promptly sent an engineer to assess the issue. The engineer determined that the air conditioner has low coolant pressure, which is likely causing the malfunction. This leaves me unsure as to who is at fault for this situation: whether Amazon sent me a faulty product, or if the installation process was not carried out correctly.

Overall, while the delivery and installation experience were satisfactory, the ongoing performance issues with the air conditioner have left me disappointed.",2
Lg technician behaviour very rude they asked high amount for installation already am having copper wire installed for old ac but they won't accept for tat technician asked to install new copper wire otherwise we won't install you won't get warranty and even manager also talked rudely plz don't buy lg products worst customer support,1
"Very poor..After 2 months of running, HC error coming, not very great experience with all the LG products that I have used till now like Washing machine, Freeze and now AC.",1
