,모델명,날짜,별점,제목,본문
13,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 5 January 2024,3.0 out of 5 stars,Refregirator,It is very good but make some noise...
14,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 27 July 2024,1.0 out of 5 stars,Worst Product.,Don't prefer this product facing defect issues with the refrigerator. Got freezer sensor issue after 2 months from the purchase date.
15,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 27 October 2023,3.0 out of 5 stars,BEST FOR A SMALL FAMILY,"LG Refrigerator had always been a best one for me, let me check this time as well...."
16,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 29 July 2024,1.0 out of 5 stars,Damaged,"The Refrigerator is damaged in two places with large, visible dents"
17,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 28 July 2024,1.0 out of 5 stars,Worst product,Just after using for 2 mnths the fridge is not working...its not getting cooled
18,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 10 July 2024,1.0 out of 5 stars,Worst performance,"This product always giving noice sounds,
Past 10 months onwards Service persons not resolving the issue.
Please don't look in to the LG products."
19,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 10 June 2024,1.0 out of 5 stars,LG service is very slow,"There is no egg tray inside refrigerator. We are buying 25k rs refrigerator and LG wants to save 100rs for small egg tray 😁.
I was contacting LG service center for Demo and installation but there was no response from them. It takes 3 day's for LG to just installation and demo. 1 star for LG service."
20,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 27 April 2021,1.0 out of 5 stars,Disappointed with LG👎,"After spending 25k, refrigerator is making very loud noise randomly every few hours only after 15 days of usage.
After raising complaint, LG technician came and he was not able to understand that fridge is making rattling sound every few hours. He did inspection, didn't do anything, and said noise will be gone(its my guarantee). He was not even able to understand what the problem is, even after telling him 4 times. Only 3 hours later, we heard the loud noise again and again.
Technician is not responding now and we've raised the issue again. Hoping some trained technician comes for inspection this time.

This rattling sound is like someone drilling in the wall. It's a known issue with LG fridges(you can find it on Google), but we didn't know it'll be so loud that we'll hear it in the entire flat. Totally disappointed with LG product and service. They are ruining their name by making products like this 👎

Update: After speaking to 4 technicians, sending them audio recording of noise, showing them a video from YouTube where same noise is coming from back of the fridge - they are not able to understand the issue and they are saying it's normal. Due to lockdown, they asked me to cancel the complaint and raise it again after lockdown. Let's see what they do after lockdown!

Update: After lockdown, new technician came. He said you need to adjust a coil which is behind the fridge and sound will be gone. But it's still the same. Don't know why they don't understand( or accept) that fridge has some manufacturing defect. I guess we will have to live with this sound making piece of garbage."
21,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 9 June 2024,1.0 out of 5 stars,Hopeless service,I got a defective product. The doors do not close properly and inspite of repeated request nobody came to repair. I am writing this review after 6 months of purchase. Still my complaint is not resolved. Not recommended at all
22,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 24 June 2024,1.0 out of 5 stars,Refrigerator is not Cooling,"Very Disappointed with the LG, First they delivered damaged Product the. Provided a replacement with the product which is not working after 5 days of usage."
23,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 20 June 2024,1.0 out of 5 stars,Poor quality product,"This is the worst refrigerator we purchased.It is not cooling properly. Freezer not cooling properly, ice creams got melted in its maximum cooling temperature. Service is also very poor. Donot buy this product"
24,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 20 May 2024,1.0 out of 5 stars,No installation support provided in actual,"I know it's simple to install(took 10min to find where they put the cable, it's not freezing same as our old refrigerators, old one were fast in cooling this new tech is a lot slower, I don't know if it an issue because no one came for installation) but if LG is committed to provide installation support then why they are not doing ? Is it mentioned just for getting people attraction?"
25,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 29 October 2023,2.0 out of 5 stars,Defective items,My suggestion is don't go for any electronic items through online... Better go for shop and pls check it out and and then buy... This is my 3rd time I got defective items and I suggest u to don't buy on online especially this festival season time... they are using it as tool to sell defective items
26,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 6 November 2023,3.0 out of 5 stars,Build Quality is Poor,Easily gets dent
27,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 20 July 2023,2.0 out of 5 stars,Scratches on bottom side- Minor touches cause scratches and dent on door,"Refrigerator is good. Working well and silent compressor

After many months of usage one day I noticed that scratches on bottom side and covered like black paint. Those who are interested to buy this refrigerator, kindly check the all corners and edges. If anything found like this, request for replacement. Attached pic are self-explanatory. After all the door materials quality also not good. If minor touch cause scratches and dent."
28,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 30 May 2023,1.0 out of 5 stars,Worst product,"This product is always in maxi discount. When the product is not sold then only discount is given continuously. After finding maxi discount I bought it but it was a big mistake. This product has very less capacity. And the most problematic is its cooling problem. Within 10 months the product created trouble. It has no cooling. The service man came and changed the cooling control device. Even then no improvement. Then again I made second complaint. They changed the fan. But again same problem. Then again they changed the fan. Then now it is working. It took five days to get it repaired. The service man suggested to purchase the four year warranttee for the product as the parts of the product are costly. I purchased the four years warranttee for the product of Rs 7200 for 20% discount. Now my cost of the product increases to Rs 25000 plus rs 7200 . Around rs 32000. The product is not worth of this price. There are other product in which there is hardly in problem. So I advise not to buy it even if available in 50% discount. Moreover, I think service man intentionally created trouble in maintenance and reflected as if the problem may occure in future, so that I buy the warranty for four years. It was a trap. They fooled me. Now the same warranty is provided in 45% discount."
29,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 3 October 2023,3.0 out of 5 stars,Good product,Product is good but timely not delivered
30,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 14 April 2024,1.0 out of 5 stars,A very troublesome product from LG..,"Have been a LG fan from years.. used many of their products, fridge, tv and all.. however this one unit is constantly giving me problems.. The motherboard of this fridge gets damaged frequently.. and every time repair costs 5k.. this is the 2nd time in 2.5 yrs that the motherboard got damaged.. very troublesome product.. not buying LG anymore..."
31,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 2 December 2022,3.0 out of 5 stars,Product is good but not satisfied with Amazon service,"if you looking more freezer storage then go for it and their is no feasibility to convert the freezer to freeze.
So plan carefully as your need. I order wrongly this product and want to replace with convertible but Amazon deny to do that."
32,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 30 June 2024,1.0 out of 5 stars,Very Bad quality,Quality is not good
33,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 11 June 2024,1.0 out of 5 stars,"Faulty, compressor stop working within 1.5 months","Refrigerator stops making ice within 1.5 months, need to call LG support. It's compressor is not working."
34,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 10 June 2024,1.0 out of 5 stars,क्वॉलिटी बहुत खराब है ।6month में कलर निकल गया। सर्विस भी खराब है ।,क्वॉलिटी बहुत खराब है ।6month में कलर निकल गया। सर्विस भी खराब है ।
35,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 14 June 2024,1.0 out of 5 stars,poor and very bad experience,Some parts like plug and it's got damaged
36,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 19 April 2024,1.0 out of 5 stars,"Poor service, missing part","Poor service from both amazon and LG.
They delivered package without egg tray, which should have been included as per description.
When complaint was lodged neither LG nor Amazon took the responsibility. LG was one step forward and asked extra money to provide egg tray. Don't buy LG product."
37,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 14 August 2023,2.0 out of 5 stars,Freezer fan issues,"Dear team LG
Within a year I took 3 times service/repair by today
Getting too much trouble from convertible freezer
Fan is replaced 2 times
PCB is replaced 1 time
I think there is some serious issue with my variant
Kindly request you to look further my issues.
Give me a feedback regarding this matter
Thank you"
38,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 21 July 2024,1.0 out of 5 stars,My product damaged,My product damaged
39,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 26 May 2024,1.0 out of 5 stars,Not a user friendly fridge Ice box is very bad,"Getting ice from ice box is very tough very poor design, I'm facing this problem so please go for other models this model is not user friendly"
40,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 14 October 2023,1.0 out of 5 stars,dont go for brand name ....!,"I was thrilled to receive the fridge and had it promptly installed. However, my excitement quickly turned into disappointment when the fridge stopped working just 48 hours after delivery. Despite following all the installation instructions and ensuring a proper power supply, the appliance is entirely non-functional. It is evident that the refrigerator is defective and, unfortunately, has failed to serve its intended purpose.

My primary reason for purchasing this fridge was to ensure the hassle-free preservation of groceries, especially perishables such as fruits, vegetables, and ice creams. The unexpected breakdown of the fridge has not only caused immense frustration but also led to the wastage of my groceries. In total, I estimate the cost of the wasted items to be around 2000 rupees, which is a significant hole in my pocket. This is far from the experience I anticipated when purchasing a brand-new product through Amazon Prime."
41,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 15 June 2024,1.0 out of 5 stars,Lg not response for service,Item is totally rubbish
42,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 12 May 2024,1.0 out of 5 stars,Worst purchase lg refrigerator,This is the worst refrigerator we purchased.It is not cooling properly.On lower point it is not working and higher point it is freezing everything
43,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 18 May 2024,1.0 out of 5 stars,Not good as per experience,"I recently purchased but its not good in upper fridge not light available and not cooling smart system
Pls don't purchase
Whirphool is better option than LG"
44,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 23 July 2024,1.0 out of 5 stars,Bad coustemer service,Play Video
45,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 17 June 2024,1.0 out of 5 stars,Fault Product delivered,Fault Product delivered
46,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 22 June 2021,3.0 out of 5 stars,At least once a day the Compressor makes trrrrrrt as if some short circuit happened,"Refrigerator is spacious, cooling is good but the company should have provided options to adjust the height of the shelves. Right now the only option you have is to remove a shelf if you have something big to keep inside. Deep freezer shelf and the one over Veg basket looks very cheap. The worst part is, once or twice a day the compressor make some loud noise as if there was some short circuit. As per LGs service engr, this sound is normal and it comes in all of LGs Refrigerators"
47,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 22 June 2022,3.0 out of 5 stars,Slightly disappointed,"Ordered this on the recommendation of a refrigerator technician, hopefully the machine does not give me trouble... one of the door storage shelf is very narrow... cannot even fit a can of cool drinks. The shelves are not adjustable ."
48,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 11 March 2024,1.0 out of 5 stars,Defective piece....Disappointed with LG... Not going to recommend it to anyone,"Stopped working within 1-2 months... Got it repaired through LG technician through LG service center... It took them almost 20-25 days to repair the refrigerator causing me great hardship during the said period.....
And now within 2-3 months after repairing it, it again stopped working...."
49,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 18 December 2021,3.0 out of 5 stars,"Ok product, not that good!","Bought this fridge and had to call the service center 2-3 times within 3 months of buying. Reason, they have the temperature control setting inside the fridge and it automatically got reset. So the cooling stopped multiple times and that too in a new fridge. Not that great product. You can get much better options at this price."
50,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 10 May 2024,1.0 out of 5 stars,Dont purchace waste fridge,"Worrest product dont purchace, and dont purchace on Amazon waste service"
51,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 31 July 2021,3.0 out of 5 stars,Loud noises from the refrigerator,"Below problem rectified by changing circuit board.
This item makes noises 2 or 3 times in a day, like ice break with loud noise. The service centre said it couldn't be rectified. L G can do something to clear the issue?
After 1month this making noise too loud.

Don't buy LG"
52,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 6 November 2023,2.0 out of 5 stars,Size isnt big enough,"I read all the reviews and online purchase experience is not good, it looks pretty small too may"
53,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 23 August 2023,2.0 out of 5 stars,Ook but...,Door not closes automatically. You really need to push a bit hard to close it. Many time it is open slightly in this case even door open beep don't sound...
54,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 13 August 2023,1.0 out of 5 stars,Worst Service from LG,"With in 10th month of purchase cooling completed stopped, raised a complaint to customer support on WhatsApp and they arranged a technician. He inspected and told its bcs of ice forming issue and poured some hot water and went. Again after 3 month the issue came, this time I called up the customer support and explained the issue. They denied that no complaint s were registered earlier.

Then this guy inspected and told me that motor, bio metal and sensor controller is not working and needed to replaced which is costing around 6000. Upon explaining the issue to customer support they are rude and asking to pay the money for service to not change the parts.

0 for LG service and not at all recommended."
55,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 16 October 2023,2.0 out of 5 stars,Damaged product lg refrigerator,The refrigerator was received in damaged condition. Kindly get replaced at the earliest
56,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 18 November 2023,2.0 out of 5 stars,Cooling,Refrigerator is not cooling
57,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 23 December 2022,3.0 out of 5 stars,Crack in ice tray,Within 1 month automatically crack happened in ice tray . it's very disappointing one...
58,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 26 April 2024,1.0 out of 5 stars,Poor quality and small product. Very unhappy please don't buy this refrigerator,The product we have received is very small as compare the picture we have seen on the website. Please replace the product
59,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 17 October 2022,3.0 out of 5 stars,Just a average fridge.,"Just a normal fridge. The door is too tight, and not many compartments. But it is fine for small family usage."
60,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 30 June 2021,1.0 out of 5 stars,Better to buy frm shop,"Play Video
Highly disappointed. I purchased a LG 260 3 Star refrigerator. After 10 days compressor noise so badly . I complain on 26th june to the LG customer care they came on 27th june they said u have to change the compressor I told them to replace the refrigerator they said u have to talk to Amazon customer care I talk to them they said ur replacement date is on 26th we can’t help you on this I talk to them 2 days but they can’t be able to help me out for this well. I want to return the product and tried to reach out to Amazon. However the issue is not yet resolved. Such a waste of money buying electronic item on Amazon. It’s much better to visit a store, touch and feel a product before purchasing."
61,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 17 April 2023,3.0 out of 5 stars,Will post review once i finish with checking it,Play Video
62,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 27 September 2022,3.0 out of 5 stars,There is No Light inside the freeze. Except this everything is good.,"Every thing is good. But there is no light inside freeze.
Installation done free of cost within 24 hr.
Packaging was very good."
63,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 2 February 2024,1.0 out of 5 stars,Lg product freez,July 2023 me mayne freez kharide ab ice freezer me jam na chalu ho gaya hy .lg ka service sahi nahi hy kitna call karne ke baad koi service ke liye koi parson engg.nahi aaya .aaj10 din se jyda complain ka ho gaya hy
64,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 29 January 2023,3.0 out of 5 stars,Good,Fine but colour is not adequate.
65,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 16 February 2024,1.0 out of 5 stars,"Not Good, only 11 months run next stop","LG Refrigerator only11 month ge gas leaked aagi off aagiruttade.

(Cold aagutilla)

Minimum 10 to 15 years enu tondare aagbaradu... Adu best refrigerator."
66,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 29 May 2022,3.0 out of 5 stars,"Product is good,but during the dispatch by Amazon little dent in body surface.",Superb item by lg also delivery time by Amazon is good but during the dispatch little dent in body surface...this is not acceptable in new product
67,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 18 May 2024,1.0 out of 5 stars,Comfortable of use,Condition
68,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 18 November 2023,1.0 out of 5 stars,Bad support from Amazon and LG,"Call Amazon and they will ask you to call LG. LG doesn't pick and you can happily spend your time talking to each team. Call Amazon again
Call LG again
Call -- Call

And finally come here without any option. Giving you a heads up before you choose this here !!!!!"
69,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 5 November 2022,2.0 out of 5 stars,Be Careful before buying it. Buy at your own risk,Had bought this freeze in June 2021. All was running smooth. But Suddenly without any reason freezer stopped working. Had to give extra repair cost of 2500 Rs to get it working just after 1 year 3 months. And compressor keeps making weird noises for which two support person didn’t do anything.
70,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 22 October 2022,3.0 out of 5 stars,Good,Good I love it & good delivery also thank u amazon 🥳
71,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 7 May 2024,3.0 out of 5 stars,2024 model have egg tray ?,"Have an egg tray on 2024 model GL-S292RDSX/2024 ?

Please reply me as soon as possible
Otherwise model is good"
